education_num_scaled,hours_per_week_scaled,log_age_scaled,marital_status_ Married-civ-spouse,relationship_ Husband,education,age_level,hours_per_week_level,cluster
1.0913739343040236,-0.046192277145407794,0.15580918469274496,0,0, Bachelors,Dewasa Tengah,Waktu Penuh,0
1.0913739343040236,-1.9155565814744107,0.8537211008795463,1,1, Bachelors,Dewasa Akhir,Waktu Paruh,1
-0.41269156438106713,-0.046192277145407794,0.08307867300068057,0,0, HS-grad,Dewasa Tengah,Waktu Penuh,0
-1.1647243137236125,-0.046192277145407794,1.0179201772239845,1,1, 11th,Dewasa Akhir,Waktu Penuh,1
1.0913739343040236,-0.046192277145407794,-0.7680046600560574,1,0, Bachelors,Dewasa Muda,Waktu Penuh,0
1.4673903089752964,-0.046192277145407794,0.008458847353385637,1,0, Masters,Dewasa Tengah,Waktu Penuh,1
-1.916757063066158,-1.9155565814744107,0.796834058486615,0,0, 9th,Dewasa Akhir,Waktu Paruh,0
-0.41269156438106713,0.34325861958980114,0.9642232537212244,1,1, HS-grad,Dewasa Akhir,Lebih dari Waktu Penuh,1
1.4673903089752964,0.73270951632501,-0.48521568910112506,0,0, Masters,Dewasa Muda,Lebih dari Waktu Penuh,0
1.0913739343040236,-0.046192277145407794,0.3635648768861088,1,1, Bachelors,Dewasa Tengah,Waktu Penuh,1
-0.036675189709794435,1.5116113097954278,0.008458847353385637,1,1, Some-college,Dewasa Tengah,Sangat Sibuk,1
1.0913739343040236,-0.046192277145407794,-0.5764202307979905,1,1, Bachelors,Dewasa Muda,Waktu Penuh,1
1.0913739343040236,-0.8250940706158256,-1.311640486502019,0,0, Bachelors,Remaja-Dewasa Awal,Waktu Penuh,0
0.7153575596327509,0.73270951632501,-0.39681789092541897,0,0, Assoc-acdm,Dewasa Muda,Lebih dari Waktu Penuh,0
0.33934118496147825,-0.046192277145407794,0.22674369647299192,1,1, Assoc-voc,Dewasa Tengah,Waktu Penuh,1
-2.2927734377374307,0.34325861958980114,-0.22778668263359714,1,1, 7th-8th,Dewasa Muda,Lebih dari Waktu Penuh,1
-0.41269156438106713,-0.43564317388061674,-1.0817016588623205,0,0, HS-grad,Remaja-Dewasa Awal,Waktu Penuh,0
-0.41269156438106713,-0.046192277145407794,-0.39681789092541897,0,0, HS-grad,Dewasa Muda,Waktu Penuh,0
-1.1647243137236125,0.73270951632501,0.08307867300068057,1,1, 11th,Dewasa Tengah,Lebih dari Waktu Penuh,1
1.4673903089752964,0.34325861958980114,0.42960690647547506,0,0, Masters,Dewasa Tengah,Lebih dari Waktu Penuh,0
2.2194230583178416,1.5116113097954278,0.22674369647299192,1,1, Doctorate,Dewasa Tengah,Lebih dari Waktu Penuh,1
-0.41269156438106713,-1.6039958640862435,1.0706317802693464,0,0, HS-grad,Dewasa Akhir,Waktu Paruh,0
-1.916757063066158,-0.046192277145407794,-0.14686015463901797,1,1, 9th,Dewasa Muda,Waktu Penuh,1
-1.1647243137236125,-0.046192277145407794,0.42960690647547506,1,1, 11th,Dewasa Tengah,Waktu Penuh,1
-0.41269156438106713,-0.046192277145407794,1.3205895165557462,0,0, HS-grad,Lanjut Usia,Waktu Penuh,0
